,0
447,7898F87D59B7C4E742D8F19789B24E954E8FFA80
448,02AB415AA97D2DB2556003C9FCAEA4B0788C6640
449,65DCEDD5F82B6B41B393D779056B4C6928DC9B96
450,B159AAD727419B4498960E325D2A37C3925E4FCD
451,161AACB46F51FF094EE9BA5B61518BBBC53C7543
452,44AEB1EC616942C5CEE312FB9C489839D1115C5F
453,8372AB61271F3215CD04565F5C13BA8D53741E53
454,637B2D27F5DC8C9790AD6B5A001C4B9D789590B1
455,E3CAD11439B79A7AAA22D93267D3D5409D1BBE2A
456,0FB3A33C31598942C4BC8FEEC03EED9F185ACA8C
457,F22FAB1E88F81288825E48169C7245E3E6B719A1
